location,date,zika_confirmed,density_per_km,location_type,country,latitude,longitude,mosquito_dist,max_temp,mean_temp,min_temp,dew_point,precipitation,wind,gdp
Colombia-Antioquia-Canasgordas,2016-01-09,1,64.67404174804689,city,Colombia,6.750597,-76.02611,5.794185752817997,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Caracoli,2016-02-13,1,25.767934799194336,city,Colombia,6.4087489999999985,-74.7576179,5.234002170001996,23.0,18.0,13.0,13.0,8.13,5.0,280.0
Colombia-Antioquia-Caramanta,2016-06-18,1,84.28153991699219,city,Colombia,5.5489559999999996,-75.64370699999998,5.891391299871999,21.0,17.0,14.0,13.0,0.0,9.0,280.0
Colombia-Antioquia-Carepa,2016-01-09,1,154.77517700195312,city,Colombia,7.755354,-76.6554309,9.005618370632002,91.0,84.0,77.0,74.0,0.0,7.0,280.0
Colombia-Antioquia-Carolina,2016-06-18,1,32.44400787353516,city,Colombia,6.724917,-75.282299,5.735865753777997,23.0,18.0,13.0,13.0,0.0,6.0,280.0
Colombia-Antioquia-Caucasia,2016-01-09,1,88.91580200195312,city,Colombia,7.979698,-75.19856290000001,8.832896822408,86.26,82.48,79.57,71.74,0.0,8.0,280.0
Colombia-Antioquia-Chigorodo,2016-01-16,1,113.80782318115234,city,Colombia,7.665099000000001,-76.67748999999998,9.131893599601998,89.0,82.0,76.0,74.0,0.01,7.0,280.0
Colombia-Antioquia-Cisneros,2016-03-05,1,248.60015869140625,city,Colombia,6.538376,-75.08706699999998,5.391401754751999,25.0,20.0,15.0,14.0,1.78,6.0,280.0
Colombia-Antioquia-Ciudad_Bolivar,2016-01-09,1,142.63839721679688,city,Colombia,5.8524759999999985,-76.0218469,5.321642981151999,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Cocorna,2016-01-09,1,93.2120361328125,city,Colombia,6.057265,-75.185598,5.145418360449997,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Concepcion,2016-01-09,0,35.369972229003906,city,Colombia,6.394353,-75.25658100000001,5.220668537217997,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Concordia,2016-04-30,1,124.53290557861328,city,Colombia,6.044979,-75.908354,5.151260500881998,27.0,22.0,18.0,17.0,0.0,6.0,280.0
Colombia-Antioquia-Copacabana,2016-01-23,1,1293.366455078125,city,Colombia,6.357621,-75.505078,5.190403279281997,86.0,75.0,63.0,56.0,0.0,4.0,280.0
Colombia-Antioquia-Dabeiba,2016-02-13,1,16.775135040283207,city,Colombia,6.997374000000001,-76.256824,6.489095471752,31.0,28.0,26.0,23.0,0.25,18.0,280.0
Colombia-Antioquia-Don_Matias,2016-01-09,0,122.27017211914062,city,Colombia,6.485702,-75.39383099999998,5.319335505607998,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Ebejico,2016-01-30,1,72.86564636230469,city,Colombia,6.326906,-75.76734499999998,5.169238985671997,85.0,76.0,66.0,59.0,0.0,5.0,280.0
Colombia-Antioquia-El_Bagre,2016-01-09,1,38.43832778930664,city,Colombia,7.6056826000000015,-74.8062648,9.23280859988552,82.78,74.91,67.17,68.17,0.8183,6.48,280.0
Colombia-Antioquia-El_Carmen_De_Viboral,2016-02-06,1,129.72969055175778,city,Colombia,6.082178,-75.33738400000001,5.135425407367998,23.0,18.0,13.0,13.0,0.0,5.0,280.0
Colombia-Antioquia-El_Santuario,2016-01-09,0,472.5284729003906,city,Colombia,6.139610999999999,-75.26450899999998,5.121846982641998,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Entrerrios,2016-06-18,1,57.6029052734375,city,Colombia,6.566146000000001,-75.516908,5.433863306631999,29.0,23.0,17.0,14.0,0.0,4.0,280.0
Colombia-Antioquia-Envigado,2016-01-09,1,6334.333984375,city,Colombia,6.169610899999999,-75.58736360000002,5.120000302797617,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Fredonia,2016-02-13,1,126.83094787597656,city,Colombia,5.927245,-75.67100699999999,5.237859980049998,30.0,24.0,19.0,15.0,0.0,9.0,280.0
Colombia-Antioquia-Frontino,2016-05-14,1,20.671184539794922,city,Colombia,6.777958,-76.13291699999998,5.859225859527998,27.0,22.0,18.0,17.0,0.0,6.0,280.0
Colombia-Antioquia-Giraldo,2016-06-18,1,45.74617004394531,city,Colombia,6.680623,-75.953096,5.641471696257997,29.0,23.0,17.0,14.0,0.0,4.0,280.0
Colombia-Antioquia-Girardota,2016-01-09,1,720.173583984375,city,Colombia,6.378322,-75.449517,5.206796111367998,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Gomez_Plata,2016-06-18,1,47.22704315185547,city,Colombia,6.683248,-75.221769,5.646847019007998,23.0,18.0,13.0,13.0,0.0,6.0,280.0
Colombia-Antioquia-Granada,2016-01-30,1,248.09783935546875,city,Colombia,3.544831,-73.705281,13.031406017122004,94.0,83.0,72.0,65.0,0.0,2.0,280.0
Colombia-Antioquia-Guadalupe,2016-01-09,0,27.77528381347656,city,Colombia,6.246048999999998,-73.418739,5.131566900801998,59.5,51.5,43.5,39.5,0.89,4.0,280.0
Colombia-Antioquia-Guarne,2016-03-05,1,334.3699951171875,city,Colombia,6.279597,-75.442627,5.144023004817997,25.0,20.0,15.0,14.0,1.78,6.0,280.0
Colombia-Antioquia-Guatape,2016-01-09,1,135.56866455078122,city,Colombia,6.231136999999999,-75.15346699999998,5.127475465537998,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Heliconia,2016-01-16,1,80.48707580566406,city,Colombia,6.208781,-75.73294399999999,5.1230079319219985,85.0,75.0,64.0,57.0,0.0,5.0,280.0
Colombia-Antioquia-Hispania,2016-01-09,1,119.45542907714844,city,Colombia,5.799059,-75.90799299999998,5.3951944509619985,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Itagui,2016-01-09,1,13706.1240234375,city,Colombia,6.1675682,-75.6146712,5.120011827302478,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Ituango,2016-02-13,1,15.382405281066895,city,Colombia,7.172606999999998,-75.76468,7.130441592897992,30.0,24.0,19.0,15.0,0.0,9.0,280.0
Colombia-Antioquia-Jardin,2016-05-07,1,99.9943389892578,city,Colombia,5.596767,-75.819361,5.777192144577999,27.0,22.0,18.0,17.0,0.0,5.0,280.0
Colombia-Antioquia-Jerico,2016-03-12,1,87.2789306640625,city,Colombia,5.790513,-75.77608199999999,5.408020766337998,30.0,24.0,19.0,16.0,0.0,5.0,280.0
Colombia-Antioquia-La_Ceja,2016-05-21,1,476.36138916015625,city,Colombia,6.027632,-75.431596,5.160537294847998,76.0,65.0,55.0,56.0,0.18,4.0,280.0
